[54, 108, 162, 216, 270, 324, 378, 432, 486, 540]
[96, 192, 288, 384, 480, 576, 672, 768, 864, 960]
[56, 112, 168, 224, 280, 336, 392, 448, 504, 560]
[94, 188, 282, 376, 470, 564, 658, 752, 846, 940]
[65, 130, 195, 260, 325, 390, 455, 520, 585, 650]
[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]
[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]
[4, 8, 12, 16, 20, 24, 28, 32, 36, 40]
[5, 10, 15, 20, 25, 30, 35, 40, 45, 50]
Table of 6: [6, 12, 18, 24, 30, 36, 42, 48, 54, 60] 
Table of 5: [5, 10, 15, 20, 25, 30, 35, 40, 45, 50] 
